APK Name,Eye,Head,Environment,Hand,Body,Face
269_水果忍者_Fruit_Ninja_v1.7.2.604322,15,33,11,39,32,11
270_永恒星光汉化中文版_Eternal_Starlight_v1.4.784.784,2,13,5,53,23,2
271_汽车修理工模拟器_Car_Mechanic_Simulator_v1.1.2.361,3,0,4,30,17,2
274_泰坦宇宙之旅_Titans_of_Space_PLUS_v1.1.77.77,-1,-1,-1,-1,-1,-1
275_泰山汉化版_TVR_1.0,29,19,12,168,75,24
278_海上花园_Garden_of_the_Sea_v1.006009.338,13,48,7,106,55,3
280_海洋生存汉化中文版_OceanCraft_v0.10.108,1,6,8,24,5,4
281_海洋裂谷汉化中文版_Ocean_Rift_[1.68.55],11,7,6,13,21,0
282_海盗旗之下_Under_The_Jolly_Roger_1.0.5,10,5,0,29,12,0
283_涂鸦模拟器汉化版_Kingspray_Graffiti_[v71.5],2,6,6,55,15,0
285_消失的画像_Gone_Man_v2.04.204,-1,-1,-1,-1,-1,-1
"286_消灭病毒_Virus_No_More_v1.3,5",13,1,5,52,18,10
287_淤能碁吕物语_The_Tale_of_Onogoro_v1.1.0174,47,22,9,211,65,7
288_深林农场汉化版_Forest_Farm_[35.35],4,8,8,47,8,0
289_混战精英_Dogfight_Elite_v1.3.11.200864,8,16,8,57,47,2
291_游乐园_Fun_House_v1.1.2,11,5,8,43,15,0
294_演奏吉他_Unplugged_v1.5.410.410,2,10,7,153,11,0
295_漫威的钢铁侠汉化中文版_Marvel_Iron_Man_0.1.0-250068,4,69,18,385,194,10
296_漫步_Wander_v0.3522,0,0,0,0,1,0
299_灯塔乐园_BeaconLand_V2.0.5,13,1,5,49,14,0
300_灵魂陨落_Until_You_Fall_v1.3.1.183083,2,40,20,111,35,0
301_炫光之剑汉化中文版_Ironlights_[157],74,31,9,236,34,1
303_烧烤保卫战_Beers_and_Boomerangs_v1.0.2.61,0,0,0,16,1,0
304_热血拳击汉化中文_魔趣网_The_Thrill_of_the_Fight_[191009.3q],21,17,8,67,23,10
305_烹饪模拟器VR_Cooking_Simulator_v1.4.1.10401,25,13,7,226,41,19
306_燃鼓英雄_Drums_Rock_v1.060.90,15,1,5,59,15,1
307_爆炸节拍_Blast_Beat_v1.0.1.22,4,8,0,15,3,0
308_牧师和哥布林汉化中文版_Cleric_and_Goblins_v1.8.21,26,30,9,223,47,11
309_特工节奏_Pistol_Whip_v1.5.37.162,5,16,13,43,17,2
310_狂怒乒乓球汉化版_Racket_Fury_Table_Tennis_[7.0.6.706],6,19,7,27,13,2
311_狂热排球Volleyball_Fever_[1.5.1],21,5,3,40,12,0
312_狙击精英_Sniper_Elite_v1.03.35713,28,47,8,169,135,8
313_狼与香辛料1_Spice_and_Wolf_v1.04.9,24,26,0,26,11,6
314_狼与香辛料2_Spice_Wolf_2_[1.0.5],16,6,0,24,9,3
315_玛雅潘汉化中文版_Mayapan_v1.22,11,1,5,46,15,0
317_球体_SPHERES_v1.41.41,18,32,13,140,21,4
318_球拍_Racket_Nx_v2.8.19.260,2,9,36,10,4,0
319_甜蜜冲击_Sweet_Surrender_v1.1221.1221,2,1,18,78,14,1
322_电子像素_Pixel_Ripped_1995_v108.108,24,24,13,120,29,21
323_疯狂功夫训练_Crazy_Kung_Fu_v1.0.1.114,3,10,5,82,11,0
324_疯狂卡丁车_Karts-_Sprint_v3.05.22,37,15,20,20,15,1
325_疯狂道场汉化中文版_Loco_Dojo_Unleashed_[94.94],33,40,20,199,88,8
327_监狱大佬VR_Prison_Boss_v1.6.0.16.37,1,3,1,27,0,0
328_盗窃危机_2_Crisis_igade_2_[1.5.76],12,27,7,107,37,15
329_盗窃逃亡_A_Rogue_Escape_v1.0.104,11,1,13,47,14,0
330_盾牌节奏_X-Fitness_v4.31.200125,12,9,5,70,15,0
331_真实乒乓球_Eleven_Table_Tennis_v0.270.23_2023.5.16.16.54.38.544,22,7,2,23,6,3
332_真实网球汉化版_CYBERTENNIS_for_Quest,20,4,14,70,32,8
333_真实钓鱼_Real_Fishing_v2.492.600,19,6,27,98,22,6
334_真实钓鱼汉化_商店解锁版_Real_Vr_Fishing,33,12,40,96,16,15
335_眼镜蛇行动_OPERATION_SERPENS_v2.3.2300000,9,8,10,48,27,0
339_神秘的洞穴_Colossal_Cave_[0.07358.7358],3,49,35,67,17,11
340_神话法师汉化中文版_Mythic_Mage_v2.1.3.16,17,7,24,70,29,3
341_私人代理_Private_Agent_[1.3.5],15,2,8,45,19,0
342_秋天之后_After_the_Fall_v1.37240.41048,-1,-1,-1,-1,-1,-1
343_秒死_Dead_Second_v0.70.138,22,11,6,90,56,19
344_空战1941_Wings1941_v101.101,18,12,11,70,21,13
345_穿越_GoThruVR_2.3.8.77,11,3,8,44,15,0
346_笔触工作室汉化中文版_Brushwork_Studio_v.10e.146,12,1,6,92,18,10
347_第一人称网球_First_Person_Tennis_The_Real_Tennis_Simulator_v4.2.172,12,1,11,31,23,0
348_第三只眼计划_ThirdEye_v0.035.26,15,5,0,53,37,0
349_箭族汉化中文版_–_中世纪射箭_Arrowhead_Medieval_Archery_v0.9.1,0,2,0,23,4,2
350_粉碎鼓手VR_Smash_Drums_v3.3.0.2.238,83,28,18,81,38,13
351_精灵射手_Elven_Assassin_v1.6.0_OculusQuest.175,11,18,25,121,28,1
353_绊爱-触摸节拍_Kizuna_AI_Touch_the_Beat_v1.7.70,1,2,0,12,5,3
354_绘画模拟器汉化中文版_PaintingVr_v.62.71,11,7,7,123,23,0
356_绿色地狱VR_Green_Hell_v1.3.3.259,3,9,1,233,22,6
357_网球赛汉化中文版_Tennis_League_v1.0.0.0.22,0,14,19,78,14,1
358_美国梦汉化版_The_American_Dream_[1.008.136],16,12,37,78,73,14
359_羽毛球_Badminton_1.0.2,11,3,7,43,16,0
360_老码头街机厅2_Pierhead_Arcade_2_v3.0.6.355,11,3,9,122,15,5
361_自然之旅汉化版_Nature_Treks_v1.24,13,2,4,57,42,13
363_致命频率_Killer_Frequency_v1.0.767.38513,0,2,6,30,35,0
364_舔狗模拟器_Chupa_Chupa_v2.0.1,27,4,10,76,44,16
366_舞蹈之箭_Dancing_Arrow_v9.1.9,25,4,23,102,16,5
367_舞蹈对撞机汉化版_Dance_Collider_1.0,120,42,11,47,47,5
368_色彩连接_ColourConnectVR_v2.1.1.66,4,0,2,25,6,0
369_节奏健身_Power_Beats_v267+3.6.2_R5359M.267,2,6,5,32,8,3
370_节奏子弹_groovebullet,0,0,0,0,0,0
371_节奏拳击_Box_v1.18.188,15,11,13,123,18,0
372_节奏矢量_AVICII_Invector_v1.58,0,6,3,0,2,0
373_花园_Fujii_v1.0.825,1,27,15,87,19,7
375_莱斯米尔斯体操_LES_MILLS_BODYCOMBAT_v1.5.03.10503,3,1,6,35,6,0
376_虚拟天文馆_Star_Chart_v1.7.7.18529,0,6,6,9,29,1
377_虚拟岛屿_The_Island_Odyssey!_Hi_Spec_v1.2.0.7.1207,1,5,5,2,2,0
378_虚拟格斗锦标赛_VFC_v30.41,43,81,13,418,67,10
379_虚拟现实_2_汉化中文版_Virtual_Virtual_Reality_2_v1.607.363,55,71,52,130,255,11
380_虚拟现实_Virtual_Virtual_Reality_v1.8.13.11,54,13,4,53,18,6
381_虚拟画廊_Art_Plunge_v202107012,1,7,0,6,7,9
382_虚拟训练Enhance-2.2.1.1Oculus_Quest,109,26,3,146,27,0
383_虚拟赛车_Void_Racer_Extreme_[1.21.121],0,6,10,9,13,0
384_虚时异境_Dyschronia_v1.0.30.140,0,0,0,0,0,0
385_蜂潮危机汉化中文版_Swarm_[1177],7,4,7,54,11,3
386_蜘蛛网汉化中文版_flybye_1.2.3,12,2,5,56,15,0
387_融合_Mixture_v1.0.283.283,0,5,3,69,10,0
391_被盗宠物之谜_The_Curious_Tale_of_the_Stolen_Pets_v1.08.27,64,23,11,138,30,0
392_视频音乐跳舞汉化版_Dancing_Beat_on_Video_[0.6.4],11,2,4,53,14,0
394_触手巧匠_Tentacular_v1.1.10.86,0,9,1,18,8,23
395_诱饵_Bait!_1.14.192417,-1,-1,-1,-1,-1,-1
396_诺克射箭_Nock_v1.9.0.214,3,55,30,151,95,1
397_调戏高木同学_Teasing_Master_Takagi-san_v1.1.1.34,5,7,10,78,13,0
399_谷歌绘画汉化版_Tilt_Brush_[23.2-28f36f08b],10,11,8,0,1,5
400_赛博朋克_Blaston_2.0.192848,0,37,129,202,20,18
401_起风了_WindWind_v1.1.66,77,24,9,106,34,10
402_超热_SUPERHOT_v1.152.152,9,50,18,79,106,14
403_超级登顶_To_The_Top_v0.20.20,74,30,3,70,73,2
404_超能战队_Hyper_Dash_v27.3.0.741,9,14,6,53,30,0
405_超飞战士汉化中文版_Superfly_v1.2.3.47,6,7,1,108,15,0
406_足球守门员汉化版_Cleansheet_v2023.1.22M.123,12,10,11,105,24,0
408_路径工艺_PathCraft_v1.07.200059,3,1,2,71,15,0
409_轻松钓鱼_Bait!_1.12.63217,2,5,1,14,4,5
410_边缘旅行者_BRINK_Traveler_v1.3.0.272,0,10,4,43,6,0
411_迷你赛车手X人工校对汉化版_Mini_Motor_Racing_X_v1.3.6.126,2,6,20,62,16,0
412_迷你高尔夫_Walkabout_Mini_Golf_v4.3.18337,11,25,16,68,16,1
413_迷幻谜题_Squingle_v2.0.1.57,3,24,5,96,6,3
416_逃离地牢_Escape_From_Dungeon_v1.1.5.4,9,21,21,12,12,0
417_通路_Tsuro_The_Game_of_The_Path_[1.14.0.53],4,3,21,26,20,1
418_造路游戏VR_Tsuro_The_Game_of_The_Path_v1.14.0.53,4,3,21,26,20,1
419_酒吧打架汉化中文版_Drunkn_Bar_Fight_[11.00.2793],14,28,6,106,125,14
420_里奇的木板汉化中文版_Richies_Plank_Experience_[1.9.7.223],16,2,8,60,26,1
421_重力实验汉化版_Gravity_Lab_v1.178,20,8,6,65,21,0
422_重力素描_Gravity_Sketch_5.6.0-qc,-1,-1,-1,-1,-1,-1
423_重力素描_Gravity_Sketch_[5.1.2-qc.2174],-1,-1,-1,-1,-1,-1
424_重力素描_Gravity_Sketch_v5.5.76.6063,-1,-1,-1,-1,-1,-1
425_钢铁卫士_IRON_GUARD_v1.713.406,11,4,0,21,3,0
426_银河捕获_Galactic_Catch_v1.27.230614,8,0,8,50,16,5
427_阿尔卑斯山滑雪_DescentAlps_v0.5.3.44,63,7,10,20,5,0
428_阿尔沃_Alvo_v0.35.35,14,41,32,181,55,1
429_阿尔特斯_超越时空_ALTDEUS_v1.1.538,0,0,0,0,0,0
430_隔离墙辐岛_Fading_Light_2.03.203,0,0,0,0,0,0
432_雷亚_Demeo_v1.30.214861,10,9,31,408,18,10
433_雷兹尔球员_Rezzil_Player_[1.1.722.1013],1,8,2,43,4,1
434_霓虹灯冲刺_Neon_Sprint_[1.0.4.17],116,32,8,154,25,1
436_靶子上的VR飞镖_On_Target_Darts_v1.4.17.452,11,1,16,86,21,0
437_韩国僵尸防御_Chosun_Zombie_Defense_v0.4.2.30,10,13,4,183,26,13
438_音乐冲击波_Beat_Blaster_v1.91.19,17,0,1,41,15,1
439_音频之旅_Audio_Trip_[1.0.4190.434],1,11,1,107,20,15
440_项目终止汉化中文版_Project_TERMINUS_[2.0.7.561],2,18,3,9,3,0
441_飞行堡垒_1976_Back_to_Midway_v1.2.12,4,0,12,17,12,2
442_骨骼实验室汉化中文版_BONELAB_v1.1975.32434,101,89,3,347,151,29
443_高中解剖汉化中文版_High_School_Anatomy_1.0.0,0,8,4,11,17,0
444_高压清洗机_Pressure_Washer_v1.0.0.19.37,0,0,0,0,0,0
445_高尔夫_5_golf_5_eclub_v3.451.451,14,9,17,25,10,22
446_高级保龄球Premium_Bowling_[1.18.10.96],18,6,9,127,13,6
448_魔杖_Wands_v1.8.1.860,0,9,3,22,4,5
449_魔杖联盟_Wands_Alliances_v1.1.6.295.100295,1,10,5,44,6,0
450_魔法拼图_Magic_Puzzle_Dragon_Sword_v1.1.2.112,0,0,0,8,0,0
451_黑城丧尸_Zombies_Noir_1.0.1930,4,4,0,66,20,0
453_龙拳_功夫_Dragon_Fist_Kung_Fu_v1.0.6.50,19,13,5,94,38,0
