APK Name,Eye,Head,Environment,Hand,Body,Face
252_枪战世界Spark_BraveDauntless_CN_2.4.1_VTX(5.3.x),5,127,6,296,59,14
254_枪械俱乐部Gun_Club_VR_1.1.84.246_246_FNAL(5.3.x),17,4,0,68,20,3
255_枪械突击队Gun_Raiders_0.8.1.4_FNAL,1,19,26,169,4,0
257_桌游派对Table_Party_1.0.3_FNAL,-1,-1,-1,-1,-1,-1
258_梦之境Realm_of_Dream_1.0.4,3,4,0,25,6,0
260_植物大战僵尸Plants_VS_Zombies_XR_0.1_(中文),0,0,0,0,1,4
261_模拟赛车驾驶V-Speedway_1.1.4,0,5,0,7,0,0
263_欧米茄飞行员Omega_Pilot_1.0.3.20_HTS_Omega_PIlot_1.0.3.20_HTS,12,1,6,62,16,3
264_歌利亚：玩转现实Goliath_1.9.11_FAVTX,2,2,5,91,10,0
265_死亡地平线DeathHorizon_1.0.4_FNAL(5.3.x),76,36,32,145,52,2
266_死亡瞬间（有com文件夹）_Dead_Second_0.70_FNAL,22,11,6,90,56,19
267_死亡预感Presentiment_Of_Death_1.0.3_FNAL,0,1,0,9,0,3
268_毒蛇行动OPERATION_SERPENS_2.1_29_FAVTX(5.3.x),9,8,4,34,27,0
270_水果忍者2 Fruit_Ninja_2_1.9.1.646485_FNAL,13,13,12,175,25,1
271_水果忍者FruitNinja_1.7.4.3_FNAL(5.3.x),0,6,0,7,10,11
272_水果忍者_Fruitninjavr_v1.7.4.1(5.3.x),0,6,0,7,10,11
273_水母Jellyfish_1.0.6_FNAL,4,2,8,1,9,1
274_永恒国度Realms_of_Eternity_0.6.9_FNAL(5.3.x),8,4,4,101,23,17
276_永恒星光Eternal_Starlight_1.5.914_HTS,2,13,4,55,23,2
277_永恒杀戮Everslaught_1.0.12_FNAL_Everslaught_1.0.12_FNAL,-1,-1,-1,-1,-1,-1
278_求生国度（有com文件夹）_Survival_Nation_1.3.10_FNAL,0,0,0,2,0,0
279_油画模拟器Vermillion_1.3.3f3_FNAL,5,11,2,150,26,0
280_法老王的秘宝The_Secret_Pyramid_1.0.2_FNAL(5.3.x),13,45,18,79,22,0
281_泡泡运动会VRCrazy_World_VR_1.077_FNAL,52,24,14,204,104,11
282_泰山VR（有com文件夹）_Tarzan_VR_2.6_FNAL(5.3.x),43,29,17,184,83,33
283_洞穴挖掘机2CaveDigger2_0.9.46.1_FAVTX(5.3.x),6,15,47,97,25,14
284_派对达人Party_Pumper_1.2_FNAL,73,25,16,88,38,26
286_海上花园（有com文件夹）_海上花园 Garden_of_the_Sea,11,48,7,87,49,3
287_海岛余生TillTomorrow_0.6.1.3_FNAL,0,2,5,10,0,0
288_消消乐 XiaoXiaoLe_0.8_(CN)_FNAL,0,0,0,3,0,0
289_消消动物园ExtinctionZoo_1.0.3_FNAL(5.3.x),0,0,0,4,5,0
290_淤基碁吕物语（需要复制com文件夹）_Onogoro_1.1.0222_FNAL,47,22,9,214,65,7
291_深海魅光Biolum_0.1.0.265_VTX,0,0,0,1,0,0
296_演讲大师_SpeechMaster_1.0.4,69,8,4,20,6,0
297_漫步 开加速器Wander_0.3522_FNAL,0,0,0,0,1,0
298_漫步闲游：迷你高尔夫Walkabout_Mini_Golf_4.0_15460_FNAL(5.3.x),1,22,11,42,6,1
299_激燃快鼓Smash_Drums_3.2.0_FNAL,83,28,19,81,36,13
300_火箭冰鞋RocketSkates_1.0.6_FNAL(5.3.x),72,10,8,46,8,1
301_灭亡之后：凛冬After_The_Fall_1.37240.41048_After_The_Fall_1.8.41048_FNAL,-1,-1,-1,-1,-1,-1
302_灭亡之后：凛冬（有com文件夹）_After_The_Fall_1.8.41048_FNAL,-1,-1,-1,-1,-1,-1
304_炼金士与骑士(5.6.x)_Mixture_1.0.268_FNAL_Mixture_1.0.268_FNAL,0,5,3,68,10,0
305_烧烤保卫战Beers_And_Boomerangs_0.6.6_FNAL,0,0,0,16,1,0
306_热血橄榄球2MD_VR_Football_Unleashed_All-Star_1.01_VTX(5.3.x),3,0,1,12,0,0
307_燃鼓英雄Drums_Rock_1.050_FNAL(5.3.x),11,1,7,54,15,1
308_燥热SuperHot_1.90_FNAL(5.3.x),70,58,18,82,103,14
309_爆裂厨房CookingSimulatorVR_1.0.12.1_CookingSimulatorVR_1.0.12.1_FNAL,25,13,6,199,40,19
310_爆裂厨房_CookingSimulatorVRcrack_1.0.11.0,25,13,6,199,40,19
311_爆裂球拍(5.6.x)_Racket_NX_2.8.18_FNAL,2,9,35,10,4,0
312_爆裂节奏（有com文件夹）_Blast_Beat_1.0.0_FNAL,4,8,0,15,3,0
314_爱丽丝前传Down_the_Rabbit_Hole_1.02_FNAL(5.3.x),64,7,20,26,5,1
316_玩命特攻(5.6.x)_Rampage_4.7_FNAL,3,18,47,91,55,5
317_玩命特攻Rampage_4.5_(CN)_FNAL,3,18,44,91,53,5
319_理发师Shave_and_Stuff_1.042_FNAL,-1,-1,-1,-1,-1,-1
